task_id,domain,task_class,runtime_commit,verified_dataset_commit,gold_pass,noop_pass,omission_detected,alternative_valid_pass,policy_consistent,official_gold_reward,strict_gold_reward,success_official,success_strict,task_initial_state_hash,environment_initial_state_hash,reward_basis,admitted,failure_reason,exclusion_reason,manual_review_required,flags
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,0d260532742e1a4ecfda4d4b97b2862dc8d9c1c6218bd9e1e63f9a0b45ca1821,4f1aae25b966f695922afa54b333f8e6408bcafbe02caf9c7cc2b4940ba6b919,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,8701c66bb81080cc91ae128c4f5109c652ba19576d15b536a95485bef936427f,e0b6e235043f83bc0d631526bb25bd580cdd5a3ce56be86e3172959c12e85b71,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,2776fe26e250eff08815768972b8d7eae44eb1349fd25c80e5e4e6a4c29d04b6,d3f3738c254eb1ba8ad428790b084265212139f81f1e2a2891fe3ec83ba24a7b,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,c78e230cdb043cc874739db82e5425027cd956d09de9afe127e44b4dba4133b3,4bc47c93bcfe64c1ab9a6a595c40074da4f9f0519c75b34de19eeb2313d7532b,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,ceaed886ae42d5ac291e9a67947cba1eada17ebd34cfc76315f472a8dbc7f9b7,4caf9668237bb8d331bf4342653e52e9828a8a0336388c5e7f82dac00f17b518,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,a07c26d6866567908b88b020304c8553b9333a22e6f076f8ec133590cc3faa2e,c3f2d049e5ba7f81e8156b386c26426fd4134bad21445542a97e254034bcb345,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,fe91cb5fe40ca6d8091e405d1319079074de0b1d67fbae44eb9aa8eccda17b44,f4f25428b930f11e417bea3c55d43b5aaf3d9e20581db11613dc9edf91ff2e04,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,e7f8ef22aa2ccdbba210055a1acd2cb7ea8322d427626900243db8a65eea6aee,7694d94b6cc03b02d7163b37725b9238608f35b8215a59d05689a2f716bdf2ad,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_storage_permission|unseat_sim_card[PERSONA:Hard],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,0b998a218f4af24efdb35a00c3b3b1b016e8b547c3324cf4135ce005eac3d749,66aa84c9287e82053dc48f64c9107fb1c32d4938a5b6f3770a5a9809a4c3e701,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],telecom,normal,a2c024725189473d2d7cea3a5cfdbcc67478e41f,864350a8971a8f8ee9e7b8472e2edc380a806b0c,True,True,True,PASS,True,1.0,1.0,True,True,da3a52e0e4c8bef87fe21af2e927989df6eda5b241c42ba44ee2b96c5e3108f8,6e403477562c6511aa92331d4aa0fb65f178d7a19fc6b81bdb7e8f94dfeebabb,"[""RewardType.ENV_ASSERTION""]",True,,,False,[]
