task_id,set,family,gold_tool_calls,budget_low,budget_mid,budget_high
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],scientific,mms_issue,2,2,3,4
[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],scientific,mms_issue,2,2,3,4
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_mode_off|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:Easy],scientific,mms_issue,1,1,2,3
[mms_issue]airplane_mode_on|bad_network_preference|break_apn_mms_setting|data_usage_exceeded[PERSONA:Hard],scientific,mms_issue,1,1,2,3
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],scientific,mms_issue,1,1,2,3
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_on[PERSONA:None],scientific,mms_issue,1,1,2,3
[mms_issue]bad_wifi_calling|break_apn_mms_setting|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],scientific,mms_issue,0,1,2,3
[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],scientific,mms_issue,1,1,2,3
[mms_issue]break_app_sms_permission|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],scientific,mms_issue,2,2,3,4
[mms_issue]break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],scientific,mms_issue,1,1,2,3
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],scientific,mobile_data_issue,1,1,2,3
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],scientific,mobile_data_issue,2,2,3,4
[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None],scientific,mobile_data_issue,0,1,2,3
[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],scientific,mobile_data_issue,2,2,3,4
[mobile_data_issue]bad_network_preference|data_saver_mode_on|data_usage_exceeded[PERSONA:Hard],scientific,mobile_data_issue,1,1,2,3
[mobile_data_issue]bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Hard],scientific,mobile_data_issue,0,1,2,3
[mobile_data_issue]bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],scientific,mobile_data_issue,1,1,2,3
[mobile_data_issue]data_mode_off|data_usage_exceeded[PERSONA:None],scientific,mobile_data_issue,1,1,2,3
[mobile_data_issue]data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],scientific,mobile_data_issue,2,2,3,4
[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],scientific,service_issue,1,1,2,3
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:None],scientific,service_issue,1,1,2,3
[service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None],scientific,service_issue,0,1,2,3
[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],scientific,service_issue,1,1,2,3
[service_issue]airplane_mode_on|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],scientific,service_issue,2,2,3,4
[mms_issue]bad_wifi_calling|data_mode_off|data_usage_exceeded[PERSONA:Easy],preflight,mms_issue,1,1,2,3
[mobile_data_issue]data_saver_mode_on|data_usage_exceeded[PERSONA:Easy],preflight,mobile_data_issue,1,1,2,3
[service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],preflight,service_issue,1,1,2,3
