日付,曜日,天候(晴/曇/雨),ランチ客数,ランチ売上,ディナー客数,ディナー売上,備考(定休日/イベント等)
2024-06-01,土,,,,,,
2024-06-02,日,,,,,,定休日
2024-06-03,月,,,,,,
2024-06-04,火,,,,,,
2024-06-05,水,,,,,,
2024-06-06,木,,,,,,
2024-06-07,金,,,,,,
2024-06-08,土,,,,,,
2024-06-09,日,,,,,,定休日
2024-06-10,月,,,,,,
2024-06-11,火,,,,,,
2024-06-12,水,,,,,,
2024-06-13,木,,,,,,
2024-06-14,金,,,,,,
2024-06-15,土,,,,,,
2024-06-16,日,,,,,,定休日
2024-06-17,月,,,,,,
2024-06-18,火,,,,,,
2024-06-19,水,,,,,,
2024-06-20,木,,,,,,
2024-06-21,金,,,,,,
2024-06-22,土,,,,,,
2024-06-23,日,,,,,,定休日
2024-06-24,月,,,,,,
2024-06-25,火,,,,,,
2024-06-26,水,,,,,,
2024-06-27,木,,,,,,
2024-06-28,金,,,,,,
2024-06-29,土,,,,,,
2024-06-30,日,,,,,,定休日
2024-07-01,月,,,,,,
2024-07-02,火,,,,,,
2024-07-03,水,,,,,,
2024-07-04,木,,,,,,
2024-07-05,金,,,,,,
2024-07-06,土,,,,,,
2024-07-07,日,,,,,,定休日
2024-07-08,月,,,,,,
2024-07-09,火,,,,,,
2024-07-10,水,,,,,,
2024-07-11,木,,,,,,
2024-07-12,金,,,,,,
2024-07-13,土,,,,,,
2024-07-14,日,,,,,,定休日
2024-07-15,月,,,,,,
2024-07-16,火,,,,,,
2024-07-17,水,,,,,,
2024-07-18,木,,,,,,
2024-07-19,金,,,,,,
2024-07-20,土,,,,,,
2024-07-21,日,,,,,,定休日
2024-07-22,月,,,,,,
2024-07-23,火,,,,,,
2024-07-24,水,,,,,,
2024-07-25,木,,,,,,
2024-07-26,金,,,,,,
2024-07-27,土,,,,,,
2024-07-28,日,,,,,,定休日
2024-07-29,月,,,,,,
2024-07-30,火,,,,,,
2024-07-31,水,,,,,,
2025-06-01,日,,,,,,定休日
2025-06-02,月,,,,,,
2025-06-03,火,,,,,,
2025-06-04,水,,,,,,
2025-06-05,木,,,,,,
2025-06-06,金,,,,,,
2025-06-07,土,,,,,,
2025-06-08,日,,,,,,定休日
2025-06-09,月,,,,,,
2025-06-10,火,,,,,,
2025-06-11,水,,,,,,
2025-06-12,木,,,,,,
2025-06-13,金,,,,,,
2025-06-14,土,,,,,,
2025-06-15,日,,,,,,定休日
2025-06-16,月,,,,,,
2025-06-17,火,,,,,,
2025-06-18,水,,,,,,
2025-06-19,木,,,,,,
2025-06-20,金,,,,,,
2025-06-21,土,,,,,,
2025-06-22,日,,,,,,定休日
2025-06-23,月,,,,,,
2025-06-24,火,,,,,,
2025-06-25,水,,,,,,
2025-06-26,木,,,,,,
2025-06-27,金,,,,,,
2025-06-28,土,,,,,,
2025-06-29,日,,,,,,定休日
2025-06-30,月,,,,,,
2025-07-01,火,,,,,,
2025-07-02,水,,,,,,
2025-07-03,木,,,,,,
2025-07-04,金,,,,,,
2025-07-05,土,,,,,,
2025-07-06,日,,,,,,定休日
2025-07-07,月,,,,,,
2025-07-08,火,,,,,,
2025-07-09,水,,,,,,
2025-07-10,木,,,,,,
2025-07-11,金,,,,,,
2025-07-12,土,,,,,,
2025-07-13,日,,,,,,定休日
2025-07-14,月,,,,,,
2025-07-15,火,,,,,,
2025-07-16,水,,,,,,
2025-07-17,木,,,,,,
2025-07-18,金,,,,,,
2025-07-19,土,,,,,,
2025-07-20,日,,,,,,定休日
2025-07-21,月,,,,,,
2025-07-22,火,,,,,,
2025-07-23,水,,,,,,
2025-07-24,木,,,,,,
2025-07-25,金,,,,,,
2025-07-26,土,,,,,,
2025-07-27,日,,,,,,定休日
2025-07-28,月,,,,,,
2025-07-29,火,,,,,,
2025-07-30,水,,,,,,
2025-07-31,木,,,,,,
2026-06-01,月,,,,,,
2026-06-02,火,,,,,,
2026-06-03,水,,,,,,
2026-06-04,木,,,,,,
2026-06-05,金,,,,,,
2026-06-06,土,,,,,,
2026-06-07,日,,,,,,定休日
2026-06-08,月,,,,,,
2026-06-09,火,,,,,,
2026-06-10,水,,,,,,
2026-06-11,木,,,,,,
2026-06-12,金,,,,,,
2026-06-13,土,,,,,,
2026-06-14,日,,,,,,定休日
2026-06-15,月,,,,,,
2026-06-16,火,,,,,,
2026-06-17,水,,,,,,
2026-06-18,木,,,,,,
2026-06-19,金,,,,,,
2026-06-20,土,,,,,,
2026-06-21,日,,,,,,定休日
2026-06-22,月,,,,,,
2026-06-23,火,,,,,,
2026-06-24,水,,,,,,
2026-06-25,木,,,,,,
2026-06-26,金,,,,,,
2026-06-27,土,,,,,,
2026-06-28,日,,,,,,定休日
2026-06-29,月,,,,,,
2026-06-30,火,,,,,,
